species,day,growth_stage,temperature,light_intensity,water_content,radiation_level,co2_level,o2_level,humidity,nitrogen_level,phosphorus_level,potassium_level,height,health_score,fruit_count
Dwarf Wheat,51,fruiting,18.67232480603976,1850.913160868311,48.49755762989368,15.300251551619937,510.472538576704,17.730802529174284,66.07448064306237,104.31886049657551,94.01629544374474,95.68830132877402,25.779424618781064,0.4116146435239364,4
Dwarf Wheat,25,vegetative,21.847173612018278,992.9061716766419,73.95812725170998,11.868407970421975,663.8672626024558,22.708337373537454,69.58619084395718,93.55796738455216,79.61911925393387,65.14422452849686,10.772677471037971,0.9025029572421674,0
Dwarf Wheat,50,fruiting,23.13450057845034,1070.8748596242935,76.57832781320461,2.351656037171031,933.7957504900648,21.639425132957307,70.377835161763,99.9954070124072,57.23545578223106,86.28514388094018,50.14309576968595,0.9936013360833045,4
Dwarf Wheat,54,fruiting,22.785835271178485,909.7005692669929,66.98824716422875,26.422328237339435,741.9232102035191,20.684238559567728,68.9815922063473,70.32281929386055,51.15422155645258,69.31499322820223,34.47007210924457,0.8411783386459027,19
Dwarf Wheat,24,vegetative,22.922107733813228,910.3156688119337,74.558398964277,6.788737425848788,666.5455634812845,20.99071297862221,69.69977344070628,109.07547522894866,80.17726302177488,79.47294424054078,9.659755626405868,0.9168338964932833,0
Dwarf Wheat,57,fruiting,23.115982757989897,1059.2934406028467,76.80531099766824,8.474504113757753,896.7805142450645,19.604635432948097,61.54185130220357,73.86399929394143,78.38503647005794,93.21580146248911,35.29609652762308,1.0,34
Dwarf Wheat,59,fruiting,22.69668428819574,921.8497841710872,63.14259418513191,8.474722732359538,727.3039799209678,24.99793724553441,83.82715018093626,81.35123538928332,61.327236669870786,100.87396838105629,40.077188472533244,0.9508776400483575,44
Dwarf Wheat,3,germination,22.30790495876304,1111.9266931875532,76.83332185922815,3.3722589392386815,574.9819870233392,20.288950272859648,84.43237253080721,63.082963840401845,52.649571085632346,59.732745826734636,0.3987514354088916,0.8629500081314337,0
Dwarf Wheat,12,vegetative,38.73045730466154,640.9867053821602,89.61816847281533,6.205014135164136,494.86204720034294,19.222800436836987,48.45186629890267,94.11746195675161,79.76823069187718,88.266491426752,1.4144515051229267,0.5183389087768709,0
Dwarf Wheat,56,fruiting,23.416498593843773,948.0471110972877,71.62781279381522,0.9801697062546542,966.039444823445,22.88364877077135,56.79934136802264,86.86010107529894,87.17162442152913,81.78895141939572,33.223327101023116,0.8552255670498053,26
